what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordNext,1392837616494
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordNext,1392837616906
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1392837617807
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1392837625997
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837628788
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837690114
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1392837699049
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837699549
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837782173
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1392837785452
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1392837787819
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordPrevious,1392837789009
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1392837796214
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837798629
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837815629
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837821779
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1392837856764
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.wordPrevious,1392837861803
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1392837863865
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineStart,1392837889930
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1392837892516
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1392837895672
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1392837896522
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1392837903523
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1392837909989
