what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422275993458
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276003153
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276008029
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276010601
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276012550
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276013401
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276021800
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276022475
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276046530
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276048141
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276088090
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276088740
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276118499
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276119567
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276136833
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276138640
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276669847
activated,view,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search.ui.views.SearchView,1422276669885
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276672685
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276846537
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276847376
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276867421
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276868337
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276894051
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1422276894716
